date, value
10/3/1988,91.71
10/4/1988,91.71
10/5/1988,91.73
10/6/1988,91.7
10/7/1988,91.78
10/10/1988,91.77
10/11/1988,91.78
10/12/1988,91.74
10/13/1988,91.74
10/14/1988,91.77
10/17/1988,91.77
10/18/1988,91.75
10/19/1988,91.72
10/20/1988,91.72
10/21/1988,91.71
10/24/1988,91.71
10/25/1988,91.71
10/26/1988,91.678
10/27/1988,91.654
10/28/1988,91.602
10/31/1988,91.546
11/1/1988,91.52
11/2/1988,91.5
11/3/1988,91.48
11/4/1988,91.43
11/7/1988,91.38
11/8/1988,91.32
11/9/1988,91.27
11/10/1988,91.27
11/11/1988,91.23
11/14/1988,91.21
11/15/1988,91.18
11/16/1988,91.09
11/17/1988,91.02
11/18/1988,91.08
11/21/1988,91.07
11/22/1988,91
11/23/1988,91
11/25/1988,90.984
11/28/1988,90.896
11/29/1988,90.912
11/30/1988,91.044
12/1/1988,91.03
12/2/1988,90.85
12/5/1988,90.85
12/6/1988,90.95
12/7/1988,90.93
12/8/1988,90.91
12/9/1988,90.88
12/12/1988,90.86
12/13/1988,90.83
12/14/1988,90.81
12/15/1988,90.76
12/16/1988,90.76
12/19/1988,90.83
12/20/1988,90.83
12/21/1988,90.87
12/22/1988,90.85
12/23/1988,90.89
12/27/1988,90.888
12/28/1988,90.82
12/29/1988,90.884
12/30/1988,90.942
1/3/1989,90.85
1/4/1989,90.8
1/5/1989,90.8
1/6/1989,90.8
1/9/1989,90.81
1/10/1989,90.79
1/11/1989,90.74
1/12/1989,90.78
1/13/1989,90.84
1/16/1989,90.84
1/17/1989,90.78
1/18/1989,90.83
1/19/1989,90.83
1/20/1989,90.82
1/23/1989,90.82
1/24/1989,90.83
1/25/1989,90.8
1/26/1989,90.744
1/27/1989,90.758
1/30/1989,90.75
1/31/1989,90.722
2/1/1989,90.71
2/2/1989,90.71
2/3/1989,90.64
2/6/1989,90.57
2/7/1989,90.61
2/8/1989,90.61
2/9/1989,90.6
2/10/1989,90.51
2/13/1989,90.49
2/14/1989,90.45
2/15/1989,90.43
2/16/1989,90.43
2/17/1989,90.44
2/21/1989,90.43
2/22/1989,90.38
2/23/1989,90.22
2/24/1989,90.076
2/27/1989,89.996
2/28/1989,89.982
3/1/1989,89.94
3/2/1989,89.98
3/3/1989,90
3/6/1989,90.03
3/7/1989,90
3/8/1989,89.99
3/9/1989,89.94
3/10/1989,89.77
3/13/1989,89.81
3/14/1989,89.84
3/15/1989,89.9
3/16/1989,89.92
3/17/1989,89.61
3/20/1989,89.57
3/21/1989,89.61
3/22/1989,89.73
3/23/1989,89.78
3/27/1989,89.75
3/28/1989,89.728
3/29/1989,89.762
3/30/1989,89.74
3/31/1989,89.732
4/3/1989,89.85
4/4/1989,89.92
4/5/1989,89.94
4/6/1989,89.9
4/7/1989,89.95
4/10/1989,89.92
4/11/1989,89.92
4/12/1989,89.94
4/13/1989,89.92
4/14/1989,90.07
4/17/1989,90.03
4/18/1989,90.15
4/19/1989,90.15
4/20/1989,90.06
4/21/1989,90.09
4/24/1989,90.06
4/25/1989,90.082
4/26/1989,90.13
4/27/1989,90.2
4/28/1989,90.228
5/1/1989,90.12
5/2/1989,90.15
5/3/1989,90.19
5/4/1989,90.17
5/5/1989,90.22
5/8/1989,90.21
5/9/1989,90.11
5/10/1989,90.16
5/11/1989,90.18
5/12/1989,90.33
5/15/1989,90.3
5/16/1989,90.27
5/17/1989,90.28
5/18/1989,90.28
5/19/1989,90.31
5/22/1989,90.38
5/23/1989,90.4
5/24/1989,90.36
5/25/1989,90.316
5/26/1989,90.376
5/30/1989,90.478
5/31/1989,90.504
6/1/1989,90.55
6/2/1989,90.73
6/5/1989,90.7
6/6/1989,90.69
6/7/1989,90.75
6/8/1989,90.75
6/9/1989,90.79
6/12/1989,90.75
6/13/1989,90.71
6/14/1989,90.71
6/15/1989,90.67
6/16/1989,90.63
6/19/1989,90.6
6/20/1989,90.59
6/21/1989,90.57
6/22/1989,90.53
6/23/1989,90.65
6/26/1989,90.66
6/27/1989,90.71
6/28/1989,90.762
6/29/1989,90.872
6/30/1989,90.958
7/3/1989,91.02
7/5/1989,91.1
7/6/1989,91.07
7/7/1989,91.12
7/10/1989,91.11
7/11/1989,91.11
7/12/1989,91.13
7/13/1989,91.11
7/14/1989,91.1
7/17/1989,91.08
7/18/1989,91.03
7/19/1989,91.08
7/20/1989,91.07
7/21/1989,91.03
7/24/1989,91.03
7/25/1989,91.07
7/26/1989,91.138
7/27/1989,91.268
7/28/1989,91.376
7/31/1989,91.506
8/1/1989,91.65
8/2/1989,91.63
8/3/1989,91.59
8/4/1989,91.3
8/7/1989,91.28
8/8/1989,91.33
8/9/1989,91.29
8/10/1989,91.27
8/11/1989,91.2
8/14/1989,91.12
8/15/1989,91.08
8/16/1989,91.1
8/17/1989,91.09
8/18/1989,91.1
8/21/1989,91.09
8/22/1989,91.06
8/23/1989,91.1
8/24/1989,91.08
8/25/1989,91.08
8/28/1989,91.116
8/29/1989,91.12
8/30/1989,91.138
8/31/1989,91.158
9/1/1989,91.22
9/5/1989,91.18
9/6/1989,91.18
9/7/1989,91.19
9/8/1989,91.2
9/11/1989,91.19
9/12/1989,91.19
9/13/1989,91.22
9/14/1989,91.24
9/15/1989,91.22
9/18/1989,91.2
9/19/1989,91.21
9/20/1989,91.18
9/21/1989,91.14
9/22/1989,91.1
9/25/1989,91.07
9/26/1989,91.108
9/27/1989,91.092
9/28/1989,91.08
9/29/1989,91.082
10/2/1989,91.1
10/3/1989,91.12
10/4/1989,91.12
10/5/1989,91.15
10/6/1989,91.28
10/9/1989,91.29
10/10/1989,91.27
10/11/1989,91.27
10/12/1989,91.3
10/13/1989,91.27
10/16/1989,91.43
10/17/1989,91.46
10/18/1989,91.42
10/19/1989,91.42
10/20/1989,91.4
10/23/1989,91.41
10/24/1989,91.45
10/25/1989,91.44
10/26/1989,91.45
10/27/1989,91.45
10/30/1989,91.446
10/31/1989,91.446
11/1/1989,91.46
11/2/1989,91.47
11/3/1989,91.39
11/6/1989,91.36
11/7/1989,91.47
11/8/1989,91.51
11/9/1989,91.5
11/10/1989,91.5
11/13/1989,91.51
11/14/1989,91.54
11/15/1989,91.54
11/16/1989,91.52
11/17/1989,91.51
11/20/1989,91.5
11/21/1989,91.48
11/22/1989,91.57
11/24/1989,91.63
11/27/1989,91.572
11/28/1989,91.592
11/29/1989,91.626
11/30/1989,91.68
12/1/1989,91.76
12/4/1989,91.76
12/5/1989,91.76
12/6/1989,91.73
12/7/1989,91.68
12/8/1989,91.74
12/11/1989,91.7
12/12/1989,91.68
12/13/1989,91.67
12/14/1989,91.7
12/15/1989,91.67
12/18/1989,91.67
12/19/1989,91.67
12/20/1989,91.77
12/21/1989,91.8
12/22/1989,91.78
12/26/1989,91.78
12/27/1989,91.794
12/28/1989,91.806
12/29/1989,91.842
1/2/1990,91.83
1/3/1990,91.84
1/4/1990,91.86
1/5/1990,91.9
1/8/1990,91.9
1/9/1990,91.91
1/10/1990,91.9
1/11/1990,91.91
1/12/1990,91.91
1/15/1990,91.88
1/16/1990,91.85
1/17/1990,91.84
1/18/1990,91.76
1/19/1990,91.79
1/22/1990,91.8
1/23/1990,91.8
1/24/1990,91.81
1/25/1990,91.8
1/26/1990,91.802
1/29/1990,91.806
1/30/1990,91.812
1/31/1990,91.814
2/1/1990,91.83
2/2/1990,91.81
2/5/1990,91.78
2/6/1990,91.79
2/7/1990,91.77
2/8/1990,91.79
2/9/1990,91.81
2/12/1990,91.82
2/13/1990,91.82
2/14/1990,91.83
2/15/1990,91.8
2/16/1990,91.8
2/20/1990,91.76
2/21/1990,91.76
2/22/1990,91.76
2/23/1990,91.77
2/26/1990,91.774
2/27/1990,91.778
2/28/1990,91.778
3/1/1990,91.75
3/2/1990,91.75
3/5/1990,91.73
3/6/1990,91.73
3/7/1990,91.73
3/8/1990,91.73
3/9/1990,91.69
3/12/1990,91.68
3/13/1990,91.63
3/14/1990,91.67
3/15/1990,91.67
3/16/1990,91.68
3/19/1990,91.66
3/20/1990,91.66
3/21/1990,91.68
3/22/1990,91.71
3/23/1990,91.7
3/26/1990,91.72
3/27/1990,91.702
3/28/1990,91.698
3/29/1990,91.684
3/30/1990,91.662
4/2/1990,91.65
4/3/1990,91.65
4/4/1990,91.66
4/5/1990,91.69
4/6/1990,91.69
4/9/1990,91.71
4/10/1990,91.71
4/11/1990,91.71
4/12/1990,91.71
4/16/1990,91.72
4/17/1990,91.7
4/18/1990,91.67
4/19/1990,91.67
4/20/1990,91.69
4/23/1990,91.66
4/24/1990,91.63
4/25/1990,91.604
4/26/1990,91.544
4/27/1990,91.558
4/30/1990,91.554
5/1/1990,91.47
5/2/1990,91.47
5/3/1990,91.51
5/4/1990,91.67
5/7/1990,91.66
5/8/1990,91.7
5/9/1990,91.69
5/10/1990,91.71
5/11/1990,91.75
5/14/1990,91.76
5/15/1990,91.75
5/16/1990,91.74
5/17/1990,91.75
5/18/1990,91.76
5/21/1990,91.77
5/22/1990,91.76
5/23/1990,91.76
5/24/1990,91.76
5/25/1990,91.748
5/29/1990,91.75
5/30/1990,91.762
5/31/1990,91.758
6/1/1990,91.87
6/4/1990,91.84
6/5/1990,91.83
6/6/1990,91.83
6/7/1990,91.81
6/8/1990,91.83
6/11/1990,91.82
6/12/1990,91.82
6/13/1990,91.86
6/14/1990,91.85
6/15/1990,91.81
6/18/1990,91.81
6/19/1990,91.79
6/20/1990,91.79
6/21/1990,91.8
6/22/1990,91.81
6/25/1990,91.79
6/26/1990,91.802
6/27/1990,91.81
6/28/1990,91.832
6/29/1990,91.848
7/2/1990,91.84
7/3/1990,91.84
7/5/1990,91.85
7/6/1990,91.81
7/9/1990,91.8
7/10/1990,91.79
