,Converted_Datetime,Rate,DayofWeek,rowinpriceoffutures,Day before,Day after,Ratedaybefore,Ratedayafter,Rate Changes,difference,difference type 2,difference type 3
0,2020-03-15,0.125,6,7913,2020-03-13,2020-03-16,99.84,99.895,-1.0,0.05499999999999261,-0.9300000000000068,-0.6749999999999972
1,2020-03-03,1.125,1,7905,2020-03-02,2020-03-04,98.91,99.22,-0.5,0.3100000000000023,-0.48499999999999943,-0.811000000000007
2,2020-01-28,1.625,1,7881,2020-01-27,2020-01-29,98.425,98.40899999999999,0.0,-0.016000000000005343,0.015000000000000568,0.02600000000001046
3,2019-12-10,1.625,1,7849,2019-12-09,2019-12-11,98.44,98.435,0.0,-0.0049999999999954525,-0.03299999999998704,0.007499999999993179
4,2019-10-30,1.625,2,7821,2019-10-29,2019-10-31,98.40700000000001,98.4425,-0.25,0.035499999999984766,-0.047000000000011255,-0.10249999999999204
5,2019-10-04,1.875,4,7803,2019-10-03,2019-10-07,98.36,98.34,0.0,-0.01999999999999602,-0.26500000000000057,-0.21999999999999886
6,2019-09-18,1.875,2,7791,2019-09-17,2019-09-19,98.095,98.12,-0.25,0.025000000000005684,-0.16499999999999204,-0.18000000000000682
7,2019-07-31,2.125,2,7757,2019-07-30,2019-08-01,97.93,97.94,-0.25,0.009999999999990905,-0.2600000000000051,-0.29999999999999716
8,2019-06-18,2.375,1,7727,2019-06-17,2019-06-19,97.67,97.64,0.0,-0.030000000000001137,-0.07700000000001239,-0.030000000000001137
9,2019-04-30,2.375,1,7693,2019-04-29,2019-05-01,97.59299999999999,97.61,0.0,0.017000000000010118,0.007000000000005002,-0.015000000000000568
10,2019-03-19,2.375,1,7664,2019-03-18,2019-03-20,97.6,97.595,0.0,-0.0049999999999954525,-0.002999999999985903,0.0010000000000047748
11,2019-01-29,2.375,1,7630,2019-01-28,2019-01-30,97.59700000000001,97.596,0.0,-0.0010000000000047748,0.03299999999998704,-0.0010000000000047748
12,2018-12-19,2.375,2,7604,2018-12-18,2018-12-20,97.63,97.595,0.25,-0.03499999999999659,0.09000000000000341,0.11499999999999488
